First Name	Last Name	Date of Birth	Email	Identification Number	Password	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance	Credit Max
C	3PO	"August 16, 1994"	C3PO@disney.com	100	Password149	"538 W. University Ave, El Paso, TX 79968"	(915) 747-5038	1086	2086	3086	477.14	1502.74	-1378.14	6305
Daniel	A	"August 12, 1957"	DanielA@disney.com	63	Password112	"501 W. University Ave, El Paso, TX 79968"	(915) 747-5001	1062	2062	3062	902.05	3698.14	-1171.85	4957
Sean	Aguilar	"December 20, 1995"	SeanAguilar@disney.com	37	Password86	"1314 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4637	1036	2036	3036	1995.34	3126.14	-494.42	4041
Jafar	Aladdin	"April 19, 2010"	JafarAladdin@disney.com	18	Password67	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1017	2017	3017	1447.09	1367.15	-1082.64	9352
Aaron	Alarcon	"November 28, 2002"	AaronAlarcon@disney.com	38	Password87	"1315 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4638	1037	2037	3037	379.78	4391.23	-313.66	8681
Bryant	Allsup	"February 6, 1963"	BryantAllsup@disney.com	39	Password88	"1316 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4639	1038	2038	3038	580.32	3947.34	-1502.85	6529
Captain	America	"October 20, 1933"	CaptainAmerica@disney.com	92	Password141	"530 W. University Ave, El Paso, TX 79968"	(915) 747-5030	1086	2086	3086	597.29	4360.44	-1026.21	3184
Nathan	Aun	"February 7, 2015"	NathanAun@disney.com	40	Password89	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1039	2039	3039	792.10	4181.17	-745.41	6219
Daniel	B	"November 8, 1937"	DanielB@disney.com	64	Password113	"502 W. University Ave, El Paso, TX 79968"	(915) 747-5002	1063	2063	3063	1713.19	2478.01	-1678.29	6055
William	Basquez	"March 5, 1990"	WilliamBasquez@disney.com	41	Password90	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1040	2040	3040	1413.75	2713.76	-1275.12	8596
Tinker	Bell	"March 24, 1980"	TinkerBell@disney.com	88	Password137	"526 W. University Ave, El Paso, TX 79968"	(915) 747-5026	1086	2086	3086	80.42	4865.66	-517.68	7644
Daniel	C	"May 12, 1980"	DanielC@disney.com	65	Password114	"503 W. University Ave, El Paso, TX 79968"	(915) 747-5003	1064	2064	3064	1175.90	2470.98	-290.42	3843
Fabian	Cano	"March 9, 2010"	FabianCano@disney.com	42	Password91	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1041	2041	3041	959.17	3627.08	-1441.74	3845
Denise	Castro	"September 6, 1976"	DeniseCastro@disney.com	43	Password92	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1042	2042	3042	587.04	735.53	-1679.53	3383
Karla	Chavez	"November 8, 1958"	KarlaChavez@disney.com	44	Password93	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1043	2043	3043	498.55	164.23	-319.27	9218
Daniel	D	"June 1, 2014"	DanielD@disney.com	66	Password115	"504 W. University Ave, El Paso, TX 79968"	(915) 747-5004	1065	2065	3065	294.63	2608.55	-801.27	4958
R2	D2	"March 31, 2012"	R2D2@disney.com	99	Password148	"537 W. University Ave, El Paso, TX 79968"	(915) 747-5037	1086	2086	3086	1648.56	3181.61	-1795.31	7394
Solomon	Davis	"January 9, 1998"	SolomonDavis@disney.com	45	Password94	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1044	2044	3044	1311.29	850.63	-1292.20	6293
Cruella	De Vil	"February 17, 1996"	CruellaDe Vil@disney.com	22	Password71	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1021	2021	3021	695.58	1822.89	-395.78	3946
Goofy	Disney	"November 26, 1946"	GoofyDisney@disney.com	4	Password53	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1003	2003	3003	461.51	1687.11	-1665.63	3398
